,,,,,,,,,,,,,,,,,,
Title,Sessions - Total,Sessions - Total - B2B,Conversion Rate - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page View Percentage - Total,Page View Percentage - Total - B2B,Buy Box Percentage,Buy Box Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
"Ecocutlery Kitchen Shears Heavy Duty Kitchen Scissors with Magnetic Holder, Dishwasher Safe Scissors All Purpose Come Apart Blade Made with Japanese Steel 4034 for Meat/Vegetables/BBQ/Herbs, Black","2,651",52,5.66%,6.55%,"3,790",77,5.90%,7.19%,99.82%,100.00%,617,17,23.27%,32.69%,"US$11,872.84",US$333.83,569,14
"ecocutlery Paring Knife 3.5 inch Small Kitchen Knife with Elegant Gift Box, Sharp Forged German Carbon Stainless Steel Fruit Knife, Full Tang, Ergonomic Handle-Classic Series","3,049",49,6.51%,6.17%,"4,498",70,7.00%,6.54%,99.85%,100.00%,434,11,14.23%,22.45%,"US$8,822.48",US$220.28,401,7
"ecocutlery Stackable Bento Box Adult Lunch Box | Meet All You On-the-Go Needs for Food, Salad, and Snack Box, Premium Bento Lunch Box for Adults Include Utensil Set, Dressing Containers - Pale Mint","8,376",85,17.89%,10.71%,"11,559",132,17.99%,12.32%,99.86%,100.00%,186,1,2.22%,1.18%,"US$4,588.67",US$25.77,182,1
"ecocutlery Paring Knife 3.5 inch Small Kitchen Knife with Elegant Gift Box, Sharp Forged German Carbon Stainless Steel Fruit Knife, Full Tang, Ergonomic Handle-Classic Series","1,355",13,2.89%,1.64%,"1,903",14,2.96%,1.31%,99.67%,100.00%,199,2,14.69%,15.38%,"US$4,361.59",US$41.90,181,2
"Ecocutlery Stackable Bento Lunch Box | Meet All Your On-the-Go Food, Salad and Snack Needs, Premium Adult Lunch Box Includes Utensil Set, Dressing Containers - Lava Orange","1,491",14,3.19%,1.76%,"2,048",20,3.19%,1.87%,99.66%,100.00%,120,0,8.05%,0.00%,"US$2,958.95",US$0.00,110,0
"ecocutlery Stackable Bento Box Adult Lunch Box | Meet All You On-the-Go Needs for Food, Salad and Snack Box, Premium Bento Lunch Box for Adults Include Utensil Set, Dressing Containers - Classic Blue",807,8,1.72%,1.01%,"1,095",10,1.70%,0.93%,99.89%,100.00%,111,2,13.75%,25.00%,"US$2,550.72",US$44.75,105,2
"ecocutlery French Fry Cutter, 4-in-1 Multi-functional Onion/Vegetable Chopper with Container, Pro Food Chopper, Veggie Chopper, and Food Dicer","1,830",27,3.91%,3.40%,"2,728",38,4.25%,3.55%,99.38%,100.00%,104,1,5.68%,3.70%,"US$2,490.80",US$23.95,101,1
"ecocutlery Meat Carving Fork 11 inch, Razor Sharp Carving Fork Barbecue Fork BBQ Tools Meat Forks Stainless Steel",639,10,1.37%,1.26%,909,15,1.41%,1.40%,99.74%,100.00%,107,7,16.74%,70.00%,"US$2,350.08",US$160.65,101,4
"ecocutlery Stackable Bento Box Adult Lunch Box | Meet All You On-the-Go Needs for Food, Salad and Snack Box, Premium Bento Lunch Box for Adults Include Utensil Set, Dressing Containers - Frozen Berry","1,956",23,4.18%,2.90%,"2,654",28,4.13%,2.61%,99.86%,100.00%,96,0,4.91%,0.00%,"US$2,333.45",US$0.00,95,0
"Ecocutlery Kitchen Scissors All Purpose Kitchen Shears with Magnetic Holder, Soft Grip Handle Cooking Scissors Dishwasher Safe with Come Apart Blade Heavy Duty Scissors for Meat, Vegetable, Herb, Black",506,8,1.08%,1.01%,713,12,1.11%,1.12%,99.52%,100.00%,90,3,17.79%,37.50%,"US$2,034.30",US$67.17,88,3
